sector,proxy_etf,proxy_etf_name,constituents
Technology,091160,KODEX 반도체,005930;000660;042700;240810;357780;095340
Financials,091170,KODEX 은행,105560;055550;086790;316140;024110;138040
Energy/Chemicals,117460,KODEX 에너지화학,096770;051910;011170;010950;009830;298000
Healthcare,266420,KODEX 헬스케어,207940;068270;006280;128940;302440;000100
Automobile,091180,KODEX 자동차,005380;000270;012330;161390;204320;011210
Steel/Materials,117680,KODEX 철강,005490;010130;004020;103140;001230;000880
Internet/Communication,098560,KODEX 미디어&엔터테인먼트,035420;035720;036570;251270;352820;259960
Consumer,266390,KODEX 경기소비재,090430;097950;271560;004370;051900;161890
Secondary Battery,305720,KODEX 2차전지산업,373220;006400;066970;247540;020150;137400
Shipbuilding/Defense,449450,KODEX K-방산,329180;042660;012450;064350;079550;047810
