ticker,name,market_segment
005930,삼성전자,KOSPI
000660,SK하이닉스,KOSPI
207940,삼성바이오로직스,KOSPI
005935,삼성전자우,KOSPI
373220,LG에너지솔루션,KOSPI
005380,현대차,KOSPI
000270,기아,KOSPI
035420,NAVER,KOSPI
068270,셀트리온,KOSPI
005490,POSCO홀딩스,KOSPI
105560,KB금융,KOSPI
035720,카카오,KOSPI
055550,신한지주,KOSPI
012450,한화에어로스페이스,KOSPI
028260,삼성물산,KOSPI
006400,삼성SDI,KOSPI
086790,하나금융지주,KOSPI
003670,포스코퓨처엠,KOSPI
011200,HMM,KOSPI
015760,한국전력,KOSPI
326030,SK바이오팜,KOSPI
009150,삼성전기,KOSPI
010130,고려아연,KOSPI
011170,롯데케미칼,KOSPI
032830,삼성생명,KOSPI
030200,KT,KOSPI
017670,SK텔레콤,KOSPI
066570,LG전자,KOSPI
051910,LG화학,KOSPI
003550,LG,KOSPI
034730,SK,KOSPI
010950,S-Oil,KOSPI
000810,삼성화재,KOSPI
316140,우리금융지주,KOSPI
138040,메리츠금융지주,KOSPI
024110,기업은행,KOSPI
086280,현대글로비스,KOSPI
271560,오리온,KOSPI
097950,CJ제일제당,KOSPI
003490,대한항공,KOSPI
047810,한국항공우주,KOSPI
064350,현대로템,KOSPI
042660,한화오션,KOSPI
010140,삼성중공업,KOSPI
009540,HD한국조선해양,KOSPI
329180,HD현대중공업,KOSPI
267260,HD현대일렉트릭,KOSPI
267250,HD현대,KOSPI
000720,현대건설,KOSPI
028050,삼성E&A,KOSPI
023530,롯데쇼핑,KOSPI
069960,현대백화점,KOSPI
004170,신세계,KOSPI
161390,한국타이어앤테크놀로지,KOSPI
042700,한미반도체,KOSPI
010120,LS ELECTRIC,KOSPI
006800,미래에셋증권,KOSPI
005940,NH투자증권,KOSPI
016360,삼성증권,KOSPI
071050,한국금융지주,KOSPI
011780,금호석유,KOSPI
008770,호텔신라,KOSPI
282330,BGF리테일,KOSPI
004020,현대제철,KOSPI
028670,팬오션,KOSPI
011070,LG이노텍,KOSPI
035250,강원랜드,KOSPI
030000,제일기획,KOSPI
128940,한미약품,KOSPI
000990,DB하이텍,KOSPI
010780,아이에스동서,KOSPI
052690,한전기술,KOSPI
307950,현대오토에버,KOSPI
012330,현대모비스,KOSPI
047040,대우건설,KOSPI
047050,포스코인터내셔널,KOSPI
006120,SK디스커버리,KOSPI
036570,엔씨소프트,KOSPI
251270,넷마블,KOSPI
018260,삼성에스디에스,KOSPI
000100,유한양행,KOSPI
009830,한화솔루션,KOSPI
088980,맥쿼리인프라,KOSPI
139130,DGB금융지주,KOSPI
175330,JB금융지주,KOSPI
138930,BNK금융지주,KOSPI
180640,한진칼,KOSPI
032640,LG유플러스,KOSPI
021240,코웨이,KOSPI
000080,하이트진로,KOSPI
033780,KT&G,KOSPI
000150,두산,KOSPI
034020,두산에너빌리티,KOSPI
241560,두산밥캣,KOSPI
018880,한온시스템,KOSPI
000240,한국타이어월드와이드,KOSPI
161890,한국콜마,KOSPI
008930,한미사이언스,KOSPI
018670,SK가스,KOSPI
036460,한국가스공사,KOSPI
017800,현대엘리베이,KOSPI
006260,LS,KOSPI
078930,GS,KOSPI
078935,GS우,KOSPI
064960,SNT모티브,KOSPI
204320,HL만도,KOSPI
019170,신풍제약,KOSPI
145020,휴젤,KOSDAQ
196170,알테오젠,KOSDAQ
086520,에코프로,KOSDAQ
247540,에코프로비엠,KOSDAQ
028300,HLB,KOSDAQ
141080,리가켐바이오,KOSDAQ
145720,덴티움,KOSDAQ
066970,엘앤에프,KOSDAQ
357780,솔브레인,KOSDAQ
039030,이오테크닉스,KOSDAQ
278280,천보,KOSDAQ
067310,하나마이크론,KOSDAQ
095340,ISC,KOSDAQ
460860,우진엔텍,KOSDAQ
240810,원익IPS,KOSDAQ
083650,비에이치,KOSDAQ
036930,주성엔지니어링,KOSDAQ
112040,위메이드,KOSDAQ
192080,더블유게임즈,KOSDAQ
194480,데브시스터즈,KOSDAQ
095660,네오위즈,KOSDAQ
122870,와이지엔터테인먼트,KOSDAQ
041510,에스엠,KOSDAQ
035900,JYP Ent.,KOSDAQ
253450,스튜디오드래곤,KOSDAQ
214150,클래시스,KOSDAQ
214450,파마리서치,KOSDAQ
237690,에스티팜,KOSDAQ
328130,루닛,KOSDAQ
403870,HPSP,KOSDAQ
088800,에이스테크,KOSDAQ
348370,엔켐,KOSDAQ
418420,모티브링크,KOSDAQ
462510,삼인이엔에스,KOSDAQ
277810,레인보우로보틱스,KOSDAQ
108860,셀바스AI,KOSDAQ
069500,KODEX 200,ETF
122630,KODEX 레버리지,ETF
233740,KODEX 코스닥150레버리지,ETF
229200,KODEX 코스닥150,ETF
251340,KODEX 코스닥150선물인버스,ETF
252670,KODEX 200선물인버스2X,ETF
360750,TIGER 미국S&P500,ETF
133690,TIGER 미국나스닥100,ETF
365040,TIGER KRX 2차전지K-뉴딜,ETF
102110,TIGER 200,ETF
381180,TIGER 미국필라델피아반도체나스닥,ETF
465330,TIGER 미국AI빅테크10,ETF
102780,KODEX 삼성그룹,ETF
148020,KBSTAR 200,ETF
117460,KODEX 에너지화학,ETF
091160,KODEX 반도체,ETF
091170,KODEX 은행,ETF
091230,TIGER 반도체,ETF
091180,KODEX 자동차,ETF
228820,TIGER 코스닥150,ETF
